apple, fruit, food
banana, fruit, food
cherry, fruit, food
grapes, fruit, food
kiwi, fruit, food
lemon, fruit, food
orange, fruit, food
strawberry, fruit, food
blue, color
green, color
red, color
yellow, color
purple, color
orange, color
pink, color
brown, color
gray, color
black, color
white, color
dog, animal
cat, animal
horse, animal
elephant, animal
lion, animal
tiger, animal
bear, animal
monkey, animal
rabbit, animal
bird, animal
square, shape
circle, shape
triangle, shape
rectangle, shape
pentagon, shape
octagon, shape
star, shape
heart, shape
pizza, food
hamburger, food
pasta, food
sandwich, food
sushi, food
taco, food
salad, food
soup, food
steak, food
bread, food
rice, food
noodles, food
potato, food
chocolate, food
ice cream, food
car, vehicle
truck, vehicle 
motorcycle, vehicle 
bicycle, vehicle 
bus, vehicle 
train, vehicle 
boat, vehicle 
airplane, vehicle 
helicopter, vehicle 
scooter, vehicle
chair, furniture 
table, furniture 
sofa, furniture 
bed, furniture 
desk, furniture 
cabinet, furniture 
bookshelf, furniture 
dresser, furniture 
nightstand, furniture
lamp, furniture
doll, toy
blocks, toy
puzzle, toy
crayon, art
paint, art
marker, art
paper, art
glue, art
scissors, tool
brush, tool
hammer, tool
screwdriver, tool
saw, tool
pencil, tool
pen, tool
eraser, tool
ruler, tool
clock, time
watch, time
calendar, time
sun, sky
moon, sky
star, sky
cloud, sky
rain, weather
snow, weather
wind, weather
sunflower, plant
tree, plant
flower, plant
grass, plant
leaf, plant
branch, plant
root, plant
trunk, plant
stem, plant
ocean, nature
river, nature
lake, nature
mountain, nature
forest, nature
desert, nature
beach, nature
cave, nature
jungle, nature
valley, nature
moon, sky
star, sky
cloud, sky
rain, weather
snow, weather
wind, weather
sunflower, plant
tree, plant
flower, plant
grass, plant
leaf, plant
branch, plant
root, plant
trunk, plant
stem, plant
ocean, nature
river, nature
lake, nature
mountain, nature
forest, nature
desert, nature
beach, nature
cave, nature
jungle, nature
valley, nature
ball, toy
doll, toy
blocks, toy
puzzle, toy
crayon, art
paint, art
marker, art
paper, art
glue, art
scissors, tool
brush, tool
hammer, tool
screwdriver, tool
saw, tool
pencil, tool
pen, tool
eraser, tool
ruler, tool
clock, time
watch, time
calendar, time
chair, furniture
table, furniture
